Retail Price,Ending Number
49.99,9
26.84,4
26.84,4
26.84,4
26.84,4
26.84,4
26.84,4
26.84,4
26.84,4
26.84,4
26.84,4
26.84,4
26.84,4
26.84,4
26.84,4
26.84,4
26.84,4
26.84,4
26.84,4
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.86,6
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.84,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
23.34,4
22.34,4
22.34,4
22.34,4
22.34,4
22.34,4
22.34,4
22.34,4
22.34,4
22.34,4
22.34,4
22.34,4
22.34,4
22.34,4
22.34,4
22.34,4
22.34,4
22.34,4
20.5,5
20.36,6
20.36,6
20.36,6
20.36,6
20.36,6
20.36,6
20.36,6
20.36,6
20.36,6
20.36,6
20.36,6
20.36,6
20.36,6
20.36,6
20.36,6
20.36,6
19.99,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
19.36,6
18.36,6
18.36,6
18.36,6
18.36,6
18.36,6
18.36,6
18.36,6
18.36,6
18.36,6
18.36,6
17.99,9
17.48,8
17.48,8
17.48,8
17.48,8
17.48,8
17.48,8
17.48,8
17.48,8
17.48,8
17.48,8
17.48,8
15.99,9
13.56,6
13.56,6
13.56,6
13.56,6
11.99,9
10.99,9
9.99,9
9.99,9
9.99,9
9.99,9
9.99,9
9.17,7
8.99,9
8.99,9
8.99,9
8.99,9
8.99,9
7.99,9
7.99,9
7.99,9
7.99,9
7.99,9
7.99,9
7.99,9
7.99,9
7.99,9
7.99,9
7.99,9
7.99,9
7.99,9
7.99,9
7.99,9
7.99,9
7.99,9
7.99,9
7.95,5
7.9,9
7.9,9
7.58,9
7.39,9
7.29,9
7.29,9
7.29,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.99,9
6.98,8
6.98,8
6.79,9
6.78,8
6.78,8
6.78,8
6.78,8
6.78,8
6.78,8
6.78,8
6.78,8
6.78,8
6.78,8
6.78,8
6.78,8
6.69,9
6.59,9
6.59,9
6.59,9
6.59,9
6.59,9
6.59,9
6.49,9
6.49,9
6.39,9
6.39,9
6.38,8
6.29,9
6.18,8
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.99,9
5.89,9
5.89,9
5.89,9
5.69,9
5.69,9
5.59,9
5.59,9
5.59,9
5.59,9
5.49,9
5.49,9
5.49,9
5.49,9
5.49,9
5.39,9
5.29,9
5.29,9
5.19,9
5.19,9
5.19,9
5.19,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.99,9
4.89,9
4.89,9
4.89,9
4.89,9
4.89,9
4.89,9
4.79,9
4.79,9
4.79,9
4.69,9
4.69,9
4.69,9
4.69,9
4.69,9
4.59,9
4.59,9
4.49,9
4.49,9
4.49,9
4.49,9
4.39,9
4.39,9
4.39,9
4.39,9
4.39,9
4.39,9
4.39,9
4.39,9
4.39,9
4.39,9
4.29,9
4.29,9
4.29,9
4.29,9
4.29,9
4.29,9
4.29,9
4.29,9
4.19,9
4.19,9
4.19,9
4.19,9
4.19,9
4.19,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.99,9
3.89,9
3.89,9
3.89,9
3.89,9
3.89,9
3.89,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.79,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.69,9
3.59,9
3.59,9
3.59,9
3.59,9
3.59,9
3.59,9
3.59,9
3.59,9
3.59,9
3.59,9
3.59,9
3.59,9
3.59,9
3.59,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.49,9
3.39,9
3.39,9
3.39,9
