pre_tax_amount,tax,post_tax_amount,amount_tendered,change_due,state
23,0,23,30,7,Georgia
1.29,0.09,1.38,2,0.62,South Carolina
10,0,10,20,10,Virginia
1.29,0.06,1.35,1.35,0,Virginia
1.98,0.14,2.12,2.12,0,North Carolina
9.51,0.28,1,1,0,Virginia
4.29,0,4.29,10,5.71,Pennsylvania
0.79,0.04,0.83,0.83,0,South Carolina
10,0,10,10,0,Georgia
0.99,0.09,1.08,1.25,0.17,Virginia
19,0,50,50,0,Virginia
0.85,0.02,0.87,5,4.13,Virginia
39.02,0,39.02,39.02,0,South Carolina
4.08,0.29,4.37,4.37,0,North Carolina
50,0,50,50,0,Virginia
3.18,0.16,3.34,3.34,0,South Carolina
21.05,0,21.05,21.05,0,Pennsylvania
12.21,0.14,0.35,0.35,0,North Carolina
6,0,6,6,0,North Carolina
48,0,48,48,0,Alabama
3.53,0.19,3.72,20,16.28,North Carolina
30.01,0,30.01,30.01,0,Georgia
15,0,15,15,0,Virginia
0.49,0.04,0.53,1,0.47,Alabama
2.89,0.2,3.09,3.1,0.01,North Carolina
1.99,0.14,2.13,2.13,0,South Carolina
2.68,0.19,2.87,3.02,0.15,North Carolina
3.88,0.21,1,1,0,South Carolina
2.78,0.19,2.97,20,17.03,Georgia
1.19,0,1.19,2,0.81,Pennsylvania
31.22,0,31.22,31.22,0,South Carolina
0.89,0.08,0.97,1,0.03,Alabama
3.56,0.07,3.63,20,16.37,Georgia
4.16,0.12,4.28,5,0.72,Georgia
5,0.41,5.41,10,4.59,Tennessee
1.29,0.09,1.38,20.03,18.65,North Carolina
5.58,0.5,6.08,10,3.92,Alabama
2,0,2,2,0,South Carolina
22.07,0,22.07,22.07,0,North Carolina
2.49,0.23,2.72,3,0.28,Tennessee
28.6,0,28.6,28.6,0,South Carolina
29.83,0.2,30.03,50.03,20,Virginia
15.31,0.21,15.52,100,84.48,Georgia
22.99,1.61,24.6,25,0.4,Georgia
50,0,50,50,0,Georgia
40.11,0,40.11,40.11,0,Georgia
15.02,0,15.02,15.02,0,North Carolina
31.78,0.21,31.99,31.99,0,South Carolina
1.98,0.1,2.08,3,0.92,South Carolina
1.49,0.03,1.52,1.52,0,North Carolina
9.99,0.6,10.59,10.59,0,Georgia
2.97,0.21,3.18,4,0.82,South Carolina
4.87,0.1,4.97,5,0.03,North Carolina
22.67,0,22.67,25,2.33,South Carolina
4,0,4,4,0,Pennsylvania
10,0,10,10,0,South Carolina
43,0,43,43,0,Georgia
1.19,0.11,1.3,1.3,0,Tennessee
25,0,25,25,0,Virginia
15.45,0,15.45,20,4.55,North Carolina
1.99,0.05,2.04,5,2.96,Virginia
20,0,20,20,0,Georgia
20,0,20,20,0,North Carolina
20.05,0,20.05,20.25,0.2,South Carolina
10,0,10,10,0,Pennsylvania
1.29,0.09,1.38,5,3.62,North Carolina
7,0,7,20,13,Virginia
2.84,0.26,3.1,3.1,0,Alabama
5.23,0.21,5.44,10,4.56,Virginia
45,0,45,100,55,Virginia
13.75,0,13.75,13.75,0,South Carolina
11.99,0.14,12.13,13,0.87,North Carolina
19.3,0,19.3,19.3,0,South Carolina
25,0,25,25,0,South Carolina
7.99,0.56,8.55,9,0.45,Georgia
20,0,20,20,0,North Carolina
12.58,0.23,12.81,20,7.19,Alabama
9.98,0.7,10.68,10.75,0.07,Georgia
25.32,0,25.32,25.32,0,Georgia
0.69,0.02,0.71,1,0.29,Georgia
3.47,0.24,3.71,5,1.29,South Carolina
11.47,0.57,12.04,20.1,8.06,South Carolina
33,0,33,33,0,Georgia
31.61,0.51,32.12,40,7.88,North Carolina
29.03,0.84,9.87,20,10.13,Pennsylvania
22,0.06,22.06,23,0.94,Georgia
15,0,15,20,5,Georgia
0.99,0.07,1.06,1.26,0.2,Georgia
5.48,0.27,5.75,6,0.25,South Carolina
2.99,0.28,3.27,5.5,2.23,Tennessee
4.16,0.29,4.45,4.45,0,South Carolina
11.34,1.05,12.39,15,2.61,Tennessee
4.2,0.38,4.58,5,0.42,Alabama
3.16,0.09,78.25,100,21.75,Georgia
49.79,0,49.79,49.79,0,South Carolina
0.99,0.07,1.06,2,0.94,North Carolina
15.5,0,15.5,50,34.5,Tennessee
10,0,10,20,10,Virginia
37.57,0,37.57,37.57,0,South Carolina
3.27,0.19,3.46,5,1.54,North Carolina
29.79,0,29.79,30,0.21,Alabama
12,0,12,12,0,Virginia
10.99,0.09,11.08,11.08,0,Alabama
35,0,35,35,0,North Carolina
0.79,0.06,0.85,1,0.15,North Carolina
1.19,0.06,1.25,1.25,0,South Carolina
13.88,0.16,14.04,15,0.96,Virginia
1,0,1,1,0,South Carolina
11.88,0.09,11.97,20,8.03,North Carolina
5.69,0,5.69,20,14.31,Pennsylvania
26,0,26,26,0,South Carolina
2.19,0.15,2.34,5,2.66,North Carolina
1.59,0.05,1.64,2,0.36,Georgia
2.18,0.15,2.33,3,0.67,Georgia
37,0,37,37,0,Georgia
5.55,0.39,5.94,6,0.06,North Carolina
10,0,10,10,0,Virginia
1.29,0.03,1.32,1.32,0,Georgia
0.79,0.06,0.85,1,0.15,North Carolina
0.99,0.07,1.06,2,0.94,Georgia
2,0,2,2,0,North Carolina
11.98,0.09,12.07,15.27,3.2,North Carolina
4.02,0,30,30,0,South Carolina
5.85,0.53,6.38,20,13.62,Alabama
21.99,0.18,22.17,22.17,0,Tennessee
3.18,0.06,3.24,5.25,2.01,Georgia
0.99,0.09,1.08,1.08,0,Alabama
1.98,0.11,2.09,3,0.91,Virginia
4.75,0.43,5.18,5.18,0,Alabama
1.19,0.07,1.26,20,18.74,North Carolina
1.19,0.04,1.23,1.25,0.02,Georgia
5.08,0.29,5.37,6,0.63,Georgia
1.69,0.05,1.74,1.74,0,Georgia
0.99,0.07,1.06,1.06,0,Georgia
1.09,0.08,1.17,2,0.83,South Carolina
0.89,0.03,0.92,1,0.08,Georgia
1.98,0.12,2.1,3,0.9,Pennsylvania
10,0.7,10.7,10.7,0,North Carolina
5,0.25,5.25,10.25,5,South Carolina
1.19,0.08,1.27,2,0.73,North Carolina
0.79,0.06,0.85,1,0.15,North Carolina
3.24,0.16,3.4,3.4,0,South Carolina
5.98,0.34,6.32,7,0.68,Georgia
36.86,0,36.86,36.86,0,South Carolina
15.01,0,15.01,15.01,0,Virginia
7,0.1,7.1,10.1,3,South Carolina
1.5,0,5,5,0,Virginia
23.17,0,23.17,23.17,0,Georgia
12.04,0.1,12.14,21,8.86,North Carolina
9.06,0.63,9.69,10,0.31,North Carolina
1.59,0.11,1.7,1.75,0.05,North Carolina
11.29,0.12,11.41,11.41,0,Alabama
7,0,7,7,0,North Carolina
1.19,0.08,1.27,1.27,0,South Carolina
1.98,0.14,2.12,5,2.88,North Carolina
37.04,0,37.04,37.04,0,Pennsylvania
20,0,20,20,0,Virginia
9.01,0,9.01,9.01,0,South Carolina
1.84,0.07,1.91,2,0.09,North Carolina
5,0.25,5.25,20,14.75,South Carolina
1.09,0.07,1.16,1.16,0,Georgia
