Store #,Date,Ticket,Pre-Tax Amount,Tax,Post-Tax Amount,Amount Tendered,Change Due
5501,7/22/05,58786,2.19,0.2,2.39,5,2.61
5501,7/18/05,779990,20,0,20,20,0
5501,7/21/05,783776,21.5,0,21.5,21.5,0
5501,7/18/05,780010,2.48,0.22,2.7,3,0.3
5501,7/21/05,784065,40,0,40,40,0
5501,7/22/05,785251,6.47,0.58,7.05,10.05,3
5501,7/20/05,783194,35.39,0,35.39,35.39,0
5501,7/22/05,91759,4.18,0.38,4.56,20,15.44
5501,7/22/05,58890,16.99,0.63,17.62,100,82.38
5501,7/19/05,781080,8.18,0.74,8.92,10,1.08
5501,7/17/05,90861,0.3,0,0.3,1,0.7
5501,7/18/05,779978,20,0,20,20,0
5501,7/19/05,781932,50,0,50,50,0
5501,7/20/05,782387,1.79,0.16,1.95,2,0.05
5501,7/20/05,783338,5.18,0.47,5.65,5.65,0
5501,7/19/05,91172,0.99,0.09,1.08,2,0.92
5501,7/20/05,783214,20,0,20,20,0
5501,7/19/05,782075,73.45,0,73.45,73.45,0
5501,7/20/05,782395,5.37,0.48,5.85,6,0.15
5501,7/22/05,91748,19.99,1.8,21.79,21.79,0
5501,7/17/05,57535,20.01,0,20.01,20.01,0
5501,7/19/05,781756,0.99,0.09,1.08,1.13,0.05
5501,7/21/05,58070,3.47,0.31,3.78,5,1.22
5501,7/21/05,784057,5,0,5,5,0
5501,7/19/05,781151,33,0,33,40,7
5501,7/21/05,784029,2.19,0.2,2.39,3.4,1.01
5501,7/21/05,58679,4.87,0.44,5.31,6,0.69
5501,7/19/05,781753,43.54,0,43.54,43.54,0
5501,7/23/05,786376,4.58,0.41,4.99,20,15.01
5501,7/22/05,91646,2,0,2,200,198
5501,7/21/05,58709,0.99,0.09,1.08,2,0.92
5501,7/19/05,781858,18.64,0.33,18.97,20,1.03
5501,7/19/05,781227,10,0.9,10.9,10.9,0
5501,7/18/05,780295,10,0,10,20,10
5501,7/18/05,57667,10.1,0,10.1,11,0.9
5501,7/19/05,91213,2.97,0.27,3.24,3.25,0.01
5501,7/20/05,783009,30,0,30,30,0
5501,7/19/05,781260,20,0,20,20,0
5501,7/20/05,91302,2,0,2,50,48
5501,7/18/05,57623,22,0,22,25,3
5501,7/17/05,779278,50,0,50,50,0
5501,7/20/05,782666,12,0,12,12,0
5501,7/22/05,785238,8.83,0.79,9.62,20,10.38
5501,7/20/05,782694,20.4,0,20.4,20.4,0
5501,7/23/05,785482,5.17,0,5.17,5.17,0
5501,7/23/05,786421,0.99,0.09,1.08,5.1,4.02
5501,7/17/05,779314,10,0,10,100,90
5501,7/23/05,785692,33,0,33,33,0
5501,7/17/05,57378,20.02,0,20.02,20.02,0
5501,7/23/05,59205,52,0,52,52,0
5501,7/18/05,779696,8.16,0.73,8.89,20,11.11
5501,7/20/05,782664,0.99,0.09,1.08,2,0.92
5501,7/23/05,785559,10,0,10,10,0
5501,7/21/05,58583,2.98,0.27,3.25,3.25,0
5501,7/19/05,781791,22.99,2.07,0.06,0.06,0
5501,7/20/05,782492,46.85,0,46.85,46.85,0
5501,7/20/05,783307,32,0,32,32,0
5501,7/23/05,785281,5,0,5,5,0
5501,7/23/05,785412,5,0,5,5,0
5501,7/17/05,779196,33.46,0,33.46,33.46,0
5501,7/18/05,780934,1.79,0.16,1.95,1.95,0
5501,7/23/05,785421,34.29,0.12,34.41,100,65.59
5501,7/23/05,59071,33.01,0,33.01,40.01,7
5501,7/23/05,786336,6.58,0.59,7.17,7.17,0
5501,7/19/05,782230,1.38,0.12,1.5,2,0.5
5501,7/19/05,782279,6.62,0.6,7.22,10,2.78
5501,7/18/05,780843,29.7,0,29.7,29.7,0
5501,7/22/05,58965,26.29,0.12,26.41,26.41,0
5501,7/19/05,781045,2.9,0,2.9,2.9,0
5501,7/19/05,781999,100,0,100,100,0
5501,7/20/05,782639,14,0,14,20,6
5501,7/17/05,778825,9.61,0.86,10.47,20,9.53
5501,7/17/05,779236,67.01,0,67.01,67.01,0
5501,7/20/05,783257,45.27,0,45.27,45.27,0
5501,7/20/05,782730,62.14,0.17,62.31,70,7.69
5501,7/18/05,780405,7.58,0.23,7.81,8,0.19
5501,7/19/05,781097,5.58,0.5,6.08,6.1,0.02
5501,7/19/05,781421,20,0,20,20,0
5501,7/23/05,785572,29,0,29,29,0
5501,7/22/05,58752,24.34,0,20,20,0
5501,7/19/05,781434,36.4,0,36.4,50,13.6
5501,7/23/05,785850,3.64,0.33,3.97,40,36.03
5501,7/20/05,783220,27.65,0,27.65,27.65,0
5501,7/21/05,58239,34.09,0,34.09,40.09,6
5501,7/17/05,779189,1.98,0.18,2.16,2.21,0.05
5501,7/19/05,782090,17.83,0,-7.17,0,7.17
5501,7/19/05,782206,9.79,0.88,10.67,11,0.33
5501,7/21/05,58711,6,0,6,6,0
5501,7/20/05,57993,10.01,0,10.01,11,0.99
5501,7/21/05,58498,11.8,0.16,11.96,20,8.04
5501,7/23/05,785313,12.21,0,12.21,12.21,0
5501,7/20/05,58035,5.58,0.5,6.08,6.08,0
5501,7/22/05,784849,31,0,31,31,0
5501,7/20/05,91403,0.59,0.05,0.64,0.75,0.11
5501,7/20/05,91296,15.6,1.22,16.82,98.5,81.68
5501,7/23/05,786029,0.89,0.08,0.97,1,0.03
5501,7/17/05,779544,29.3,0,29.3,29.3,0
5501,7/22/05,91724,22.98,2.07,25.05,25.05,0
5501,7/17/05,57511,10,0,10,10,0
5501,7/20/05,782484,1.29,0.12,1.41,1.41,0
